ID,Region,Country,City,Year,System_Type,GHI,Sunlight_Hours,Annual_Production_MWh,Total_Installations,Installation_Cost_USD,Avg_Price_per_kWh,Annual_Savings_USD,ROI_Percentage,CO2_Reduction_Tons,Sustainability_Score,Solar_Viability_Score,Reliability_Score,Risk_Level
346,South America,Brazil,Santiago,2020,Residential,4.22,8.31,11643.9,1664,295883.2,0.1468,1709324.52,577.7,6540.73,51.25,41.74,94.97,Medium
347,Asia,South Korea,Mumbai,2018,Utility-Scale,6.43,5.09,9820.53,1319,335332.59,0.0945,928040.09,276.75,7401.14,86.34,69.05,83.87,Medium
348,Europe,Italy,Amsterdam,2018,Commercial,6.99,10.11,14668.11,2375,115073.32,0.2108,3092037.59,2687.02,6243.56,65.4,72.2,97.48,High
349,Europe,UK,Madrid,2021,Utility-Scale,5.99,6.15,9503.2,3907,434934.98,0.1724,1638351.68,376.69,3828.6,94.14,57.28,82.97,Medium
350,North America,USA,New York,2020,Industrial,7.03,6.31,12725.26,275,419054.63,0.1153,1467222.48,350.13,6266.17,52.75,68.79,65.67,High
351,North America,USA,New York,2018,Residential,5.17,5.66,8610.56,4752,324990.39,0.1976,1701446.66,523.54,6005.73,89.37,48.47,77.76,Medium
352,Asia,India,Singapore,2023,Commercial,7.09,9.83,21531.14,3399,429489.33,0.091,1959333.74,456.2,13681.07,56.1,74.49,72.84,High
353,Europe,UK,London,2019,Industrial,5.79,10.87,16988.09,2602,89451.38,0.2031,3450281.08,3857.16,11932.25,89.41,59.97,76.66,Medium
354,Africa,South Africa,Casablanca,2024,Commercial,5.58,8.61,12670.39,976,130958.25,0.1836,2326283.6,1776.36,9557.19,98.96,50.82,60.94,High
355,Africa,South Africa,Johannesburg,2018,Residential,3.68,6.77,7898.29,4515,145552.07,0.1889,1491986.98,1025.05,5884.29,62.72,32.48,71.71,Medium
356,South America,Peru,Lima,2021,Commercial,5.08,8.2,14297.14,301,424419.25,0.113,1615576.82,380.66,11679.51,96.11,50.59,78.51,High
357,Europe,Italy,Vienna,2024,Industrial,7.08,7.51,16930.03,163,467505.49,0.0895,1515237.68,324.11,11182.9,78.25,72.58,81.65,Low
358,Asia,China,Shanghai,2023,Industrial,4.62,4.7,7539.43,2535,331929.88,0.2232,1682800.78,506.97,5168.21,69.48,47.15,93.72,High
359,North America,Canada,Phoenix,2022,Utility-Scale,3.85,10.2,9549.25,1665,423255.86,0.1314,1254771.45,296.46,6326.86,58.75,37.24,61.46,Low
360,North America,USA,Miami,2021,Residential,4.26,10.5,13620.96,1097,285632.58,0.2118,2884919.33,1010.01,6424.29,93.59,45.82,96.58,Low
361,Middle East,Oman,Muscat,2023,Industrial,3.96,6.52,4840.72,2569,431655.81,0.2282,1104652.3,255.91,2742.97,94.46,35.63,89.88,Low
362,Europe,Germany,Amsterdam,2022,Commercial,4.27,6.3,6301.71,4221,248502.03,0.1,630171,253.59,2991.17,63.68,37.85,84.29,Low
363,Asia,India,Singapore,2018,Residential,4.07,9.08,8431.62,3866,160171.28,0.0921,776552.2,484.83,5958.05,66.94,40.14,65.07,High
364,Middle East,UAE,Dubai,2022,Utility-Scale,5.21,5.66,8296.34,4380,316740.3,0.2221,1842617.11,581.74,6219.62,80.82,50.22,91.88,Low
365,Europe,Netherlands,Berlin,2023,Commercial,5.37,7.46,11872.29,2987,369597.16,0.1591,1888881.34,511.06,6124.29,61.19,57.31,84.06,Medium
366,South America,Peru,Lima,2020,Residential,5.31,4.7,6508.96,853,208148.37,0.1584,1031019.26,495.33,3159.45,88.4,54.14,64.97,Medium
367,Africa,Egypt,Accra,2022,Utility-Scale,6.67,7.96,13174.48,4851,236048.86,0.1855,2443866.04,1035.32,8879.26,98.69,65.54,73.29,Medium
368,Asia,China,Delhi,2018,Utility-Scale,6.15,5.01,10421.89,1453,308384.73,0.1627,1695641.5,549.85,7254.49,73.15,62.05,92.06,Medium
369,Africa,Ghana,Cairo,2021,Commercial,6.76,9.51,15712.85,11,272432.82,0.1922,3020009.77,1108.53,6996.41,90.85,71.47,95.23,Low
370,Africa,South Africa,Nairobi,2022,Residential,5.96,7.41,9493.52,2830,444841.41,0.131,1243651.12,279.57,7567.98,83.98,63.79,96.53,Low
371,Africa,Nigeria,Johannesburg,2023,Utility-Scale,6.91,4.91,11304.26,265,485554.78,0.0801,905471.23,186.48,7687.07,98.93,65.2,71.01,Low
372,Africa,Ghana,Johannesburg,2024,Industrial,4.77,6.99,8164.4,3427,295303.45,0.1926,1572463.44,532.49,5204.28,59.41,46.55,96.05,Low
373,South America,Argentina,Buenos Aires,2022,Utility-Scale,3.55,8.71,6322.6,3745,448199.91,0.1918,1212674.68,270.57,5611.23,56.79,31.87,91.43,High
374,Europe,Italy,Vienna,2018,Industrial,5.2,9.83,12543.94,2215,151583.41,0.1522,1909187.67,1259.5,5064.18,74.91,54.31,87.77,Medium
375,North America,Canada,Miami,2019,Residential,3.95,7.63,8962.72,650,113939.37,0.2043,1831083.7,1607.07,7992.86,99.18,42.29,78.13,High
376,Middle East,UAE,Muscat,2021,Industrial,6.24,8,13904.56,4711,325867.6,0.2336,3248105.22,996.76,9281.53,50.54,61.94,95.34,High
377,Asia,India,Bangkok,2020,Residential,4.17,9.02,10591.87,2400,186831.88,0.2135,2261364.25,1210.37,5616.04,81.47,42.48,82.34,High
378,Middle East,Saudi Arabia,Dubai,2023,Commercial,5.52,10.03,12580.96,4857,109642.44,0.1278,1607846.69,1466.45,10428.73,50.71,51.32,66.81,High
379,Middle East,Saudi Arabia,Doha,2024,Utility-Scale,4.55,9.06,10818.41,1272,409717.4,0.2265,2450369.87,598.06,6181.9,54.22,41.95,96.42,Medium
380,Middle East,Kuwait,Riyadh,2023,Utility-Scale,6.4,5.59,9953.55,3911,428824.87,0.0892,887856.66,207.04,5297.26,90.98,59.53,78.1,Medium
381,Africa,South Africa,Lagos,2018,Residential,6.23,7.04,9852.81,4353,288698.96,0.1539,1516347.46,525.23,5363.83,89.87,61.12,72.31,High
382,Africa,Kenya,Accra,2022,Commercial,7.32,7.31,17982.68,1990,436260.05,0.1369,2461828.89,564.3,9594.55,54.91,74.74,75.25,High
383,Asia,India,Mumbai,2022,Residential,5.69,8.87,16220.51,1591,55382.63,0.0966,1566901.27,2829.23,7330.92,72.3,54.09,71.05,Low
384,North America,USA,New York,2020,Commercial,7.3,8.65,18967.04,1523,103989.7,0.2256,4278964.22,4114.8,8818.79,82.82,77,82.08,Low
385,Asia,South Korea,Jakarta,2021,Residential,7.24,8.65,21096.08,616,174372.6,0.1526,3219261.81,1846.2,17967.44,88.49,70.63,66.32,Medium
386,Middle East,UAE,Doha,2022,Commercial,4.53,9.78,9314.7,4438,81229.32,0.2465,2296073.55,2826.66,4660.47,69.63,46.75,64.23,Medium
387,South America,Colombia,Sao Paulo,2020,Utility-Scale,6.36,5.17,6326.22,319,307105.05,0.1226,775594.57,252.55,3940.86,94.83,60.09,84.97,High
388,Europe,Spain,Amsterdam,2018,Utility-Scale,5.8,7.85,15470.41,37,270805.75,0.1541,2383990.18,880.33,12717.06,89.05,60.85,81.07,Medium
389,Africa,Kenya,Casablanca,2019,Commercial,4.83,6.47,5918.24,2385,498657.11,0.19,1124465.6,225.5,3448.43,92.67,46.7,92.81,High
390,Africa,South Africa,Cairo,2023,Residential,6.14,6.44,9739.8,302,98045.61,0.1971,1919714.58,1957.98,6265.14,94.26,60.78,67.39,Low
391,Africa,South Africa,Lagos,2021,Residential,5.06,9.65,14130.1,2776,274857.87,0.244,3447744.4,1254.37,11387.29,98.33,45.76,73.23,High
392,North America,Canada,Houston,2018,Commercial,7.26,10.16,20005.28,385,383473.17,0.1196,2392631.49,623.94,8722.64,86.77,72.49,60.74,Low
393,Europe,France,London,2020,Utility-Scale,6.78,5.13,9874.73,526,425908.47,0.0909,897612.96,210.75,7986.04,55.71,68.75,84.01,Low
394,South America,Colombia,Caracas,2024,Commercial,4.8,10.84,14460.44,999,111798.23,0.2222,3213109.77,2874.03,11518.48,88.21,48.93,73.08,Medium
395,Middle East,Qatar,Riyadh,2018,Residential,5.71,7.35,14158.7,3999,68314.5,0.097,1373393.9,2010.4,11662.29,80.62,59.88,60.61,Low
396,Europe,Netherlands,Berlin,2022,Commercial,6.11,10.26,15719.65,3385,413335.31,0.2113,3321562.04,803.6,11729.68,60.31,62.5,80.4,Low
397,South America,Chile,Sao Paulo,2024,Industrial,4.22,7.75,11170.41,4353,332236.24,0.213,2379297.33,716.15,6411,50.23,39.56,64.58,Low
398,Africa,Nigeria,Casablanca,2018,Residential,5.36,8.57,9893.45,1318,73881.06,0.0992,981430.24,1328.39,4695.52,92.19,57.71,79.4,High
399,South America,Peru,Lima,2018,Residential,4.34,6.13,7578.45,248,450535.82,0.157,1189816.65,264.09,3427.06,52.62,43.77,66.16,Medium
400,Europe,Italy,Vienna,2018,Commercial,5.82,7.22,12900.46,1648,454267.74,0.1191,1536444.79,338.22,5870.57,61.39,55.57,76.09,Medium
401,Middle East,Kuwait,Kuwait City,2019,Industrial,3.72,7.33,5910.2,2219,324245.1,0.1103,651895.06,201.05,3467.77,72.89,34.14,73.99,Low
402,North America,Canada,New York,2018,Commercial,4.05,10.04,10489.11,1402,127040.59,0.1384,1451692.82,1142.7,8844.46,80.18,43.4,84.88,High
403,Middle East,Kuwait,Kuwait City,2022,Commercial,6.95,5.91,10699.63,1831,258243.31,0.0825,882719.47,341.82,6570.16,93.63,66.98,76.94,High
404,North America,USA,Seattle,2023,Residential,3.66,7.56,8595.92,1980,65129.25,0.1703,1463885.18,2247.66,5498.25,89.9,39.81,77.65,Low
405,South America,Argentina,Bogota,2024,Utility-Scale,4.03,6.42,7505.61,209,90828.28,0.1616,1212906.58,1335.38,4146.24,85.17,43.88,89.14,Medium
406,Europe,Germany,Stockholm,2024,Commercial,6.66,6.91,11916.13,3498,335031.04,0.2263,2696620.22,804.89,5187.68,94.67,64.93,61.28,Medium
407,South America,Chile,Sao Paulo,2023,Commercial,7.02,9.28,12333.23,3004,475395,0.1947,2401279.88,505.11,10409.11,55.55,68.86,84.15,Medium
408,Africa,Egypt,Accra,2020,Commercial,5.74,9.53,11133.48,1728,200718.35,0.1717,1911618.52,952.39,8066.42,86.87,59.92,93.97,High
409,Asia,Singapore,Bangkok,2022,Utility-Scale,6.22,6.3,7475.62,4375,205351.96,0.1627,1216283.37,592.29,4958.89,56.14,64.3,86.45,Medium
410,Asia,China,Shanghai,2022,Commercial,7.07,7.48,10239.8,4075,454075.64,0.129,1320934.2,290.91,8993.75,55.47,68.46,87.19,Low
411,South America,Peru,Sao Paulo,2021,Industrial,5.17,8.94,15640.44,1913,263257.21,0.1514,2367962.62,899.49,12025.22,51.07,48.59,60.86,High
412,Africa,Ghana,Nairobi,2021,Commercial,6.08,6.62,11304.93,1416,363588.61,0.2231,2522129.88,693.68,7038.77,65.2,57.12,90.78,Medium
413,Asia,Indonesia,Bangkok,2018,Commercial,6.88,5.46,8577.73,1267,480296.23,0.1852,1588595.6,330.75,4120.7,76.77,65.62,66.84,Low
414,North America,USA,Denver,2018,Residential,5.26,6.9,7798.72,4381,368210.47,0.1931,1505932.83,408.99,6933.15,57.4,52.08,98.04,Medium
415,Middle East,Saudi Arabia,Abu Dhabi,2024,Commercial,7.29,10.53,15853.93,4709,486567.57,0.1728,2739559.1,563.04,10363.79,82.36,70.86,94.94,High
416,Africa,South Africa,Accra,2018,Industrial,4.85,5.23,6631.22,2937,68036.41,0.1953,1295077.27,1903.51,3040,51.24,49.68,68.59,Low
417,Africa,Nigeria,Accra,2021,Commercial,5.83,5.94,11741.82,4202,175067.23,0.0838,983964.52,562.05,7857.7,72.27,60.02,63.41,Medium
418,Asia,South Korea,Tokyo,2023,Utility-Scale,4.94,5.46,8769.99,727,216333.49,0.1434,1257616.57,581.33,4756.19,67.57,54.18,94.1,Low
419,Middle East,Qatar,Abu Dhabi,2022,Residential,4.16,9.23,12771.28,4313,377872.48,0.1504,1920800.51,508.32,10443.79,79.9,38.04,71.83,Medium
420,Middle East,UAE,Dubai,2024,Residential,5.14,10.44,13440.48,4547,300116.23,0.2007,2697504.34,898.82,10451.61,56.85,48.26,74.89,Medium
421,Asia,Thailand,Bangkok,2021,Commercial,5.74,7.51,7956.02,2366,51101,0.1247,992115.69,1941.48,6985.49,91.71,57.13,85.5,Medium
422,South America,Argentina,Caracas,2020,Residential,3.61,9.47,9019.09,3909,486781.4,0.1818,1639670.56,336.84,5239.01,74.02,35.46,70.06,High
423,Africa,Morocco,Accra,2020,Industrial,3.57,6.19,6162.8,2926,115761.7,0.1584,976187.52,843.27,4601.4,67.87,31.23,74.09,Low
424,Africa,Egypt,Accra,2018,Industrial,5.56,9.48,11129.57,2476,92528.89,0.2079,2313837.6,2500.67,7477.47,93.62,58.87,86.71,Medium
425,Africa,Kenya,Casablanca,2021,Residential,6.79,4.58,8337.09,1821,217856.39,0.1624,1353943.42,621.48,4753.45,95.54,63.92,66.03,Low
426,Middle East,UAE,Dubai,2018,Industrial,6.78,10.5,18617.47,2812,190208.06,0.1416,2636233.75,1385.97,15052.58,94.49,68.78,89.78,Low
427,South America,Argentina,Sao Paulo,2018,Utility-Scale,4.01,9.01,10729.48,164,188342.75,0.1157,1241400.84,659.12,9555.19,71.24,42.73,64.36,Medium
428,Europe,UK,Berlin,2019,Commercial,6.67,7.84,9939.56,4939,103515,0.123,1222565.88,1181.05,4305.06,83.38,69.25,90.51,Low
429,South America,Brazil,Lima,2024,Residential,3.86,10,13128.39,4681,476956.22,0.1391,1826159.05,382.88,6305.29,75.03,40.89,69.43,Low
430,Africa,Morocco,Cairo,2021,Commercial,4.37,5.75,5726.95,3898,455747.13,0.1713,981026.53,215.26,5078.6,54.93,40.84,79.66,Medium
431,South America,Argentina,Sao Paulo,2022,Industrial,6.84,10.88,18760.75,4071,281412.95,0.1493,2800979.97,995.33,14646.61,65.71,68.06,80.27,Medium
432,South America,Brazil,Sao Paulo,2024,Residential,4.81,5.25,5762.97,3515,320175.28,0.133,766475.01,239.39,5118.03,72.2,48.64,71.33,Low
433,Middle East,Qatar,Muscat,2018,Commercial,4.22,10.99,12224.27,4847,97327.35,0.1545,1888649.72,1940.51,8914.84,54.25,38.63,75.62,Low
434,Asia,India,Delhi,2023,Utility-Scale,4.3,9.99,10684.66,3288,154791.34,0.1522,1626205.25,1050.58,6940.27,88.24,45.66,83.15,Medium
435,Africa,South Africa,Johannesburg,2019,Residential,5.55,5.46,7796.6,568,104985.53,0.1632,1272405.12,1211.98,4018.45,97.12,50.8,88.77,Medium
436,Middle East,Qatar,Kuwait City,2022,Industrial,4.11,8.54,6892.7,4026,84432.77,0.2078,1432303.06,1696.38,5402.4,89.64,38.12,85.82,High
437,Asia,Indonesia,Tokyo,2021,Commercial,3.63,7.3,8891.47,2492,222633.44,0.1335,1187011.24,533.17,5229.68,72.98,31.63,81.71,High
438,Middle East,Qatar,Riyadh,2020,Utility-Scale,6.36,7.67,9687.7,4160,353761.06,0.1922,1861975.94,526.34,7194.93,78.61,63.36,93.32,Low
439,Middle East,Kuwait,Kuwait City,2021,Industrial,5.97,6.79,14034.6,230,194217.25,0.0848,1190134.08,612.78,5930.45,91.85,58.19,88.94,High
440,North America,Canada,Seattle,2018,Commercial,7.47,7.18,10168.93,947,159903,0.1199,1219254.71,762.5,5654.43,54.25,76.58,93.89,Medium
441,Africa,Egypt,Nairobi,2024,Residential,5.34,10.11,14931.21,3207,455634.43,0.1253,1870880.61,410.61,11168.24,79.4,58.26,74.73,Medium
442,Middle East,Saudi Arabia,Dubai,2020,Commercial,4.84,7.77,11659.37,627,202792.74,0.1845,2151153.77,1060.76,6781.87,71.8,48.37,93.05,High
443,Asia,India,Tokyo,2019,Utility-Scale,7.48,7.11,11615.16,4360,384299.61,0.0956,1110409.3,288.94,9548.75,54.74,73.17,62.62,Medium
444,Asia,South Korea,Shanghai,2023,Residential,6.79,7.78,12202.04,4495,348555.51,0.1333,1626531.93,466.65,7408.56,62.56,68.05,86.19,Low
445,South America,Argentina,Santiago,2022,Residential,5.81,5.88,11736.97,3563,383993.6,0.1594,1870873.02,487.21,10194.51,76.64,59.24,90,High
446,Europe,Spain,Amsterdam,2023,Industrial,4.09,5.48,6645.56,3388,185124.05,0.154,1023416.24,552.83,3717.04,91.51,36.54,67.94,Medium
447,Europe,Netherlands,Rome,2020,Commercial,5.9,7.14,8395.92,313,136362.21,0.1217,1021783.46,749.32,6831.04,73.21,59.6,77.01,Low
448,Europe,France,London,2024,Industrial,6.66,6.31,11498.77,2581,339932.22,0.0872,1002692.74,294.97,8753.29,89.11,62.15,94.96,High
449,North America,Canada,Seattle,2021,Industrial,6.19,10.26,15716.81,4764,427914.71,0.2233,3509563.67,820.15,8141.63,78.55,61.9,64.71,High
450,North America,USA,Houston,2021,Utility-Scale,6.59,6.54,13856.06,1763,381756.36,0.217,3006765.02,787.61,10696.59,96.78,63.08,64.17,Medium
451,Asia,Thailand,Tokyo,2024,Industrial,5.63,9.05,10149.71,3903,295585.26,0.1607,1631058.4,551.81,5310.06,63.89,59.14,65.65,High
452,Asia,South Korea,Tokyo,2024,Industrial,7.37,8.44,20094.64,2543,348000.55,0.2399,4820704.14,1385.26,14977.36,89.44,71.1,81.56,High
453,South America,Chile,Sao Paulo,2024,Commercial,6.97,10.07,17269.04,1938,459405.09,0.1468,2535095.07,551.82,15352.11,62.78,65.6,92.09,Medium
454,Europe,Netherlands,Vienna,2024,Utility-Scale,4.77,9.78,13507.82,2735,405192.83,0.1266,1710090.01,422.04,5944.08,88.97,47.62,88.74,High
455,North America,Canada,Chicago,2018,Commercial,5.53,6.79,10602.24,3642,416042.62,0.2054,2177700.1,523.43,6643.69,51.37,50.82,85.02,High
456,Middle East,Qatar,Riyadh,2024,Utility-Scale,4.75,5.03,4941.68,2626,282364.65,0.2448,1209723.26,428.43,4029,88.16,50.97,86.74,Medium
457,South America,Peru,Buenos Aires,2018,Residential,4.19,8.35,8245.92,4682,176808.8,0.0943,777590.26,439.79,4813.97,69.67,40.67,92.55,Low
458,Africa,Morocco,Accra,2022,Commercial,6.01,10.39,21580.72,739,139219.79,0.1992,4298879.42,3087.84,10453.23,70.05,59.39,70.15,Medium
459,North America,Canada,New York,2021,Commercial,6.59,10.53,22249.64,4058,272367.06,0.1182,2629907.45,965.57,11159.81,97.3,69.03,70.38,Medium
460,Europe,France,Madrid,2018,Utility-Scale,6.41,5.73,7737.5,4785,406608.59,0.0849,656913.75,161.56,6871.4,61.77,63.61,69.68,High
461,North America,USA,Miami,2021,Commercial,6.99,10.83,18742.55,436,145497.95,0.1452,2721418.26,1870.42,11463.8,79.86,65.63,81.72,Medium
462,Asia,Japan,Tokyo,2021,Industrial,4.51,8.53,8903.04,4136,227613.57,0.1431,1274025.02,559.73,7870.54,77.98,45.9,70.15,Medium
463,Europe,France,Berlin,2022,Industrial,6.34,7.31,10393.84,3533,190971.32,0.2463,2560002.79,1340.52,6751.89,98.67,61.21,74.06,Medium
464,Asia,Thailand,Singapore,2019,Commercial,7.07,6.55,16165.19,1227,393653.94,0.1057,1708660.58,434.05,13360.8,82.87,73.68,62.08,Low
465,North America,Canada,Miami,2018,Commercial,4.15,7.54,6249.57,931,452828.85,0.1641,1025554.44,226.48,3879.48,99.44,42.11,77.85,High
466,Asia,China,Shanghai,2021,Commercial,6.97,5.67,8244.25,4319,278931.99,0.1264,1042073.2,373.59,6970.08,79.28,70.54,97.89,High
467,North America,Canada,Houston,2021,Residential,6.21,10.27,11761.29,1269,356590.56,0.1957,2301684.45,645.47,7022.49,79.52,66.61,92.64,Low
468,South America,Colombia,Caracas,2024,Commercial,5.32,10.71,16011.43,4672,52612.41,0.2449,3921199.21,7452.99,11657.7,97.54,51.45,88.53,Low
469,North America,Canada,Phoenix,2021,Commercial,6.69,9.33,17041.07,178,321031.19,0.0957,1630830.4,508,8990.56,62,69.61,75.56,Low
470,Middle East,Saudi Arabia,Doha,2021,Utility-Scale,3.98,7.69,7758.7,4209,412858.94,0.1327,1029579.49,249.38,5760.69,56.56,41.46,92.45,Low
471,Middle East,Qatar,Abu Dhabi,2023,Commercial,5.75,7.25,12864.9,3807,414947.46,0.1844,2372287.56,571.71,7938.32,71.3,52.9,73.33,High
472,South America,Argentina,Caracas,2020,Utility-Scale,7.22,7.93,16605.46,2470,87786.55,0.1596,2650231.42,3018.95,7299.62,90.08,70.2,98.38,Low
473,Africa,Morocco,Cairo,2018,Residential,3.81,4.79,3618.91,679,241211.08,0.0961,347777.25,144.18,2643.35,78.42,35.63,69.94,High
474,South America,Colombia,Caracas,2019,Commercial,4.22,5.68,5915.76,2181,87480.75,0.229,1354709.04,1548.58,3246.71,79.36,41.75,86.14,Medium
475,Europe,Netherlands,Berlin,2020,Utility-Scale,7.43,6.19,13543.61,3328,245209.51,0.083,1124119.63,458.43,8091.86,50.67,75.86,77.95,High
476,Africa,Kenya,Casablanca,2021,Commercial,6.26,10.76,19854.82,1551,412088.33,0.0949,1884222.42,457.24,9283.26,59.54,65.76,87.15,Low
477,South America,Venezuela,Buenos Aires,2021,Utility-Scale,4.47,9.97,14523.68,1258,292362.14,0.0946,1373940.13,469.94,11399.06,57.41,43.92,64.54,High
478,Middle East,Kuwait,Dubai,2018,Industrial,5.84,5.81,9392.04,4070,425227.34,0.0887,833073.95,195.91,3793.79,81.52,60.53,98.2,High
479,Middle East,Kuwait,Abu Dhabi,2023,Industrial,5.55,9.21,17328.04,4542,457282.91,0.2275,3942129.1,862.08,8940.45,53.04,50.69,82.48,Low
480,Middle East,UAE,Abu Dhabi,2022,Industrial,5.48,10.6,13880.12,1809,363881.5,0.0835,1158990.02,318.51,7550.86,59.61,53.24,69.05,High
481,South America,Colombia,Caracas,2020,Commercial,4.02,6.41,7754.57,1337,481911.52,0.2216,1718412.71,356.58,5711.66,86.73,43.16,91.19,High
482,South America,Brazil,Caracas,2020,Industrial,6.17,5.34,7047.94,395,322587.05,0.0972,685059.77,212.36,4285.09,99.69,59.74,68.17,Low
483,Asia,China,Mumbai,2024,Residential,6.81,10.31,13019.59,2797,78649.51,0.1532,1994601.19,2536.06,9228.04,56.03,65.34,70.06,Medium
484,Africa,Nigeria,Nairobi,2024,Residential,6.91,10.18,19888.25,877,96863.91,0.0886,1762098.95,1819.15,17365.1,89.95,73.73,89.47,High
485,Africa,Morocco,Cairo,2020,Industrial,3.92,8.59,11046.29,823,459943.6,0.1067,1178639.14,256.26,6031.95,72.08,39.26,88.57,Low
486,Europe,Germany,Berlin,2019,Commercial,5.26,7.2,11768.18,3409,160392.23,0.2176,2560755.97,1596.56,6715.63,75.25,48.45,74.53,Medium
487,Africa,Nigeria,Johannesburg,2018,Residential,4.05,7.29,9922.1,91,454129.37,0.2418,2399163.78,528.3,6529.51,84.11,44.94,77.26,High
488,Asia,Thailand,Singapore,2021,Utility-Scale,7.43,5.57,7881.78,4268,391636.57,0.1922,1514878.12,386.81,5680.66,95.13,69.88,84.63,Medium
489,South America,Chile,Caracas,2023,Utility-Scale,6.99,9.19,14988.56,1690,204870.81,0.2206,3306476.34,1613.93,12741.84,80.52,66.37,75.75,High
490,Asia,Indonesia,Seoul,2022,Industrial,4.29,6.46,5162.59,770,200521.82,0.2033,1049554.55,523.41,3975.33,56.3,47.82,71.07,High
491,Asia,Japan,Mumbai,2018,Industrial,3.61,9.68,9809.9,3065,158602.9,0.2116,2075774.84,1308.79,7487.45,99.35,32.2,62.34,Medium
492,North America,Canada,Los Angeles,2020,Commercial,4.69,9.29,11199.04,4378,492327.75,0.2169,2429071.78,493.39,10017.54,78.28,50.84,84.48,High
493,Asia,South Korea,Bangkok,2019,Residential,6.64,9.15,17881.33,2969,371457.94,0.1683,3009427.84,810.17,9366.54,66.39,67.22,92.09,Medium
494,South America,Colombia,Bogota,2023,Utility-Scale,3.83,4.9,6212.75,3244,264313.88,0.1558,967946.45,366.21,3632.27,76.31,39.18,80.24,Medium
495,Middle East,Kuwait,Abu Dhabi,2018,Utility-Scale,6.43,7.21,9628.26,1751,277603.65,0.1624,1563629.42,563.26,6054.79,98.4,64.43,80.64,Medium
496,South America,Chile,Buenos Aires,2021,Industrial,4.98,10.69,15027.09,3077,233878.94,0.1005,1510222.55,645.73,10306.82,52.01,46.33,74.49,Medium
497,North America,USA,Chicago,2021,Utility-Scale,6.64,7.24,16309.43,563,187323.78,0.1282,2090868.93,1116.18,8016.71,86.98,61.42,81.35,Low
498,Africa,Morocco,Nairobi,2018,Industrial,5.31,6.7,8685.84,3688,425506.99,0.2217,1925650.73,452.55,4051.12,56.93,54.46,89.71,Low
499,Africa,Morocco,Accra,2022,Industrial,5.14,6.01,7636.9,213,293447.5,0.2429,1855003.01,632.14,6453.35,86.8,52.86,93.77,High
500,South America,Venezuela,Sao Paulo,2018,Commercial,5.74,5.75,9412.36,995,309585.01,0.089,837700.04,270.59,6448.62,59.47,57.16,94.98,High
501,Asia,China,Delhi,2021,Commercial,6.82,9.95,18900.36,2794,88091.58,0.1707,3226291.45,3662.43,10588.28,79.44,68.11,96.42,Medium
502,North America,Canada,Denver,2019,Industrial,4.53,5.25,4682.46,1396,125670.2,0.1045,489317.07,389.37,2471.3,54.48,43.37,75.88,Low
503,North America,Canada,New York,2022,Utility-Scale,5.06,6.58,8329.69,4810,195898.01,0.1438,1197809.42,611.45,6779.29,56.05,47.63,89.33,Low
504,Africa,Egypt,Johannesburg,2019,Residential,4.58,6.57,8245.74,4811,79456.2,0.0849,700063.33,881.07,5910.3,95.69,40.99,81.61,High
505,Africa,Nigeria,Accra,2018,Utility-Scale,4.72,7.14,6546.87,4413,336109.55,0.1146,750271.3,223.22,5787.14,68.67,52.05,90.5,Medium
506,North America,Canada,Miami,2018,Industrial,6.11,5.59,6497.28,1752,464814.82,0.1265,821905.92,176.82,3413.96,84,66.09,92.86,High
507,Europe,France,Berlin,2024,Industrial,3.86,9.04,11207.55,2816,376283.2,0.2498,2799645.99,744.03,9404.7,60.54,38.65,91.28,High
508,South America,Peru,Bogota,2023,Residential,4.48,10.89,11615.11,3913,256909.7,0.1819,2112788.51,822.39,4738.24,84.59,46.26,60.08,Low
509,Europe,Italy,Stockholm,2020,Residential,7.08,9.07,19882.38,3656,292159.15,0.2138,4250852.84,1454.98,14405.75,53.88,66.11,92.45,High
510,Middle East,Qatar,Kuwait City,2019,Industrial,5.05,9.95,15979.6,2313,492707.98,0.1012,1617135.52,328.21,9351.91,59.65,45.59,88.98,High
511,North America,USA,Phoenix,2022,Industrial,4.44,7.71,8274.31,3254,176340.36,0.2338,1934533.68,1097.05,6234.56,60.45,41.36,92.02,Low
512,Africa,Nigeria,Johannesburg,2019,Industrial,5.71,8.79,13861.23,4678,357072.62,0.1761,2440962.6,683.6,5997.48,56.41,52.75,70.13,Low
513,South America,Venezuela,Sao Paulo,2020,Utility-Scale,6.21,8.49,15590.99,2656,447395.87,0.0803,1251956.5,279.83,9565.96,83.65,63.6,93.3,Medium
514,North America,Canada,Miami,2023,Residential,4.95,9.43,15415.41,680,151046.69,0.1272,1960840.15,1298.17,9403.88,72.44,44.55,67.59,High
515,Europe,UK,Stockholm,2018,Commercial,7.17,5.78,9779.14,2748,78279.86,0.1863,1821853.78,2327.36,4047.94,71.6,66.94,91.09,Medium
516,Middle East,Qatar,Riyadh,2018,Residential,6.83,9.84,18034.7,1032,156534.65,0.0924,1666406.28,1064.56,12623.97,71.93,64.26,77.41,Low
517,Middle East,UAE,Doha,2022,Residential,6.63,4.9,10279.08,3134,74654.97,0.1838,1889294.9,2530.7,6331.09,55.09,61.86,62.04,Medium
518,Middle East,Oman,Riyadh,2022,Industrial,6.65,8.56,14634.02,222,258894.09,0.1528,2236078.26,863.7,10391.7,55.06,68.01,86.36,Medium
